vertical,website,doc_id,attribute,true,pred,reason
Movie,various_websites10,0113,name,Fargo,,missed attribute
Movie,various_websites10,0148,name,Bruce Almighty,independence day weekends,nonsense
Movie,various_websites10,0023,name,Nashville,magnolia,incorrect value
Movie,various_websites10,0004,name,Chungking Express,shunji,nonsense
Movie,various_websites10,0132,name,Romeo Is Bleeding,,missed attribute
Movie,various_websites10,0114,name,Body Heat,,missed attribute
Movie,various_websites10,0112,name,Memento,,missed attribute
Movie,various_websites10,0157,name,Milano Odia: La Polizia non Può Sparare,black swan,incorrect value
Movie,various_websites10,0101,name,Xanadu,grease goddess,nonsense
Movie,various_websites10,0130,name,Bound,,missed attribute
Movie,various_websites10,0170,name,The French Lieutenant's Woman,asylum keeper,nonsense
Movie,various_websites10,0155,name,Nebo Zovyot,black swan,incorrect value
Movie,various_websites10,0149,name,Anchorman:,anchorman : the legend of ron burgundy ( hd - dvd,overcomplete value
Movie,various_websites10,0047,name,Some Like It Hot,jailbirds,incorrect value
Movie,various_websites10,0094,name,Planet of the Apes,kim hunter,nonsense
Movie,various_websites10,0042,name,Young Frankenstein,dracula,incorrect value
Movie,various_websites10,0195,name,Going Ape!,sister,incorrect value
Movie,various_websites10,0036,name,The Crying Game,belfast,incorrect value
Movie,various_websites10,0039,name,Barry Lyndon,clockwork orange,incorrect value
Movie,various_websites10,0081,name,The Killer,details,nonsense
Movie,various_websites10,0038,name,Cinema Paradiso,star maker,incorrect value
Movie,various_websites10,0062,name,Schindler's List,redemption,incorrect value
Movie,various_websites10,0082,name,Once Upon a Time in the West,gunfighter,incorrect value
Movie,various_websites10,0075,name,His Girl Friday,wilder,nonsense
Movie,various_websites10,0160,name,The Island,doctor # 2,nonsense
Movie,various_websites10,0043,name,Withnail &amp; I,,missed attribute
Movie,various_websites10,0123,name,Someone to Watch Over Me,players,nonsense
Movie,various_websites10,0013,name,A Streetcar Named Desire,simpsons : a streetcar named marge,incorrect value
Movie,various_websites10,0037,name,The Conformist,,missed attribute
Movie,various_websites10,0151,name,Prom Night,mr. hammond,nonsense
Movie,various_websites10,0025,name,Medium Cool,weather underground,nonsense
Movie,various_websites10,0005,name,Short Cuts,robin spry,nonsense
Movie,various_websites10,0146,name,Better Luck Tomorrow,players,nonsense
Movie,various_websites10,0004,name,Chungking Express,happy together,incorrect value
Movie,various_websites10,0170,name,The French Lieutenant's Woman,delivery boy,incorrect value
Movie,various_websites10,0045,name,Tootsie,sweet liberty,incorrect value
Movie,various_websites10,0185,name,Arthur,aunt pearl,nonsense
Movie,various_websites10,0104,name,School Daze,players,nonsense
Movie,various_websites10,0161,name,Ordinary People,linda,nonsense
Movie,various_websites10,0028,name,The Last Wave,once were warriors,incorrect value
Movie,various_websites10,0009,name,"sex, lies, and videotape",michael nouri ( 1945,nonsense
Movie,various_websites10,0028,name,The Last Wave,john cassavetes ( 1929,nonsense
Movie,various_websites10,0197,name,The Eye of the Needle,achille filo della torre,nonsense
Movie,various_websites10,0010,name,The World of Apu,dick van patten ( 1928,nonsense
Movie,various_websites10,0133,name,"After Dark, My Sweet",,missed attribute
Movie,various_websites10,0129,name,Blood Simple,,missed attribute
Movie,various_websites10,0027,name,Malcolm X,redd foxx ( 1922,nonsense
Movie,various_websites10,0124,name,The Man Who Wasn't There,,missed attribute
Movie,various_websites10,0017,name,A Raisin in the Sun,pierre henry ( 1927,nonsense
Movie,various_websites10,0127,name,Night and the City,,missed attribute
Movie,various_websites10,0146,name,Better Luck Tomorrow,,missed attribute
Movie,various_websites10,0030,name,The Last Picture Show,,missed attribute
Movie,various_websites10,0003,name,Red,judi dench ( 1934,nonsense
Movie,various_websites10,0101,name,Xanadu,john : grease goddess,nonsense
Movie,various_websites10,0141,name,When Harry Met Sally...,cinematographer,nonsense
Movie,various_websites10,0035,name,Deliverance,battle [ war,nonsense
Movie,various_websites10,0143,name,End of Days,,missed attribute
Movie,various_websites10,0000,name,The Sweet Hereafter,john cassavetes ( 1929,nonsense
Movie,various_websites10,0112,name,Memento,,missed attribute
Movie,various_websites10,0036,name,The Crying Game,buck henry ( 1930,nonsense
Movie,various_websites10,0167,name,The Devil and Max Devlin,justice of the peace,nonsense
Movie,various_websites10,0148,name,Bruce Almighty,terms of use,nonsense
Movie,various_websites10,0021,name,Pather Panchali,lament of the path,nonsense
Movie,various_websites10,0020,name,Picnic at Hanging Rock,wicker man,incorrect value
Movie,various_websites10,0197,name,The Eye of the Needle,carabinieri,incorrect value
Movie,various_websites10,0032,name,Fanny &amp; Alexander,slice - of - life,nonsense
Movie,various_websites10,0014,name,Saturday Night Fever,alan parker,nonsense
Movie,various_websites10,0028,name,The Last Wave,picnic at hanging rock,incorrect value
Movie,various_websites10,0171,name,Chanel Solitaire,movies,nonsense
Movie,various_websites10,0178,name,Southern Comfort,movies,nonsense
Movie,various_websites10,0005,name,Short Cuts,robin spry p2t table p1t tr p0t td,html encodings
Movie,various_websites10,0035,name,Deliverance,george jay bloom iii p2t table p1t tr p0t td,html encodings
Movie,various_websites10,0155,name,Nebo Zovyot,movies,nonsense
Movie,various_websites10,0132,name,Romeo Is Bleeding,terms of use,nonsense
Movie,various_websites10,0147,name,New Year's Eve,terms of use,nonsense
Movie,various_websites10,0176,name,Imagine the Sound,movies,nonsense
Movie,various_websites10,0048,name,Slacker,slice - of - life,nonsense
Movie,various_websites10,0008,name,Belle de Jour,obscure object of desire,incorrect value
Movie,various_websites10,0149,name,Anchorman:,anchorman : the legend of ron burgundy ( hd - dvd,overcomplete value
Movie,various_websites10,0194,name,Pennies from Heaven,old whore,nonsense
