vertical,website,doc_id,attribute,true,pred,reason
Movie,various_websites9,3,name,Shree Satya Narayan Vrat Katha Watch Full Movie Free Online - HindiMovies.to,shree satya narayan vrat katha,normalization error
Movie,various_websites9,158,name,"Avatar: El sentido del agua - Disney+, DVD, Blu-Ray & Descarga digital | Disney",avatar : el sentido del agua,incomplete value
Movie,various_websites9,243,name,Babylon,la la land,incorrect value
Movie,various_websites9,44,name,Oppenheimer,,missed attribute
Movie,various_websites9,238,name,"Avatar: La Via dell'Acqua - Disney+, DVD, Blu-Ray & Download Digitale | Disney",altri film,nonsense
Movie,various_websites9,134,name,Film Nene,recenze filmu nene,overcomplete value
Movie,various_websites9,164,name,"Review: &#039;The Green Knight&#039;: Brilliant cinematography, sound design elevate this Dev Patel-starrer",green knight,incomplete value
Movie,various_websites9,8,name,Capo di Famiglia (2022),,missed attribute
Movie,various_websites9,14,name,Napoleon,,missed attribute
Movie,various_websites9,32,name,Oppenheimer,,missed attribute
Movie,various_websites9,81,name,Video | Get Lift-off for Your SMA Business,get lift - off for your sma business,normalization error
Movie,various_websites9,50,name,Oppenheimer,,missed attribute
Movie,various_websites9,47,name,Oppenheimer,,missed attribute
Movie,various_websites9,139,name,Heavens Adore You,,missed attribute
Movie,various_websites9,77,name,1993,,missed attribute
Movie,various_websites9,131,name,&#8216;Words Bubble Up Like Soda Pop&#8217; Review,connect,nonsense
Movie,various_websites9,236,name,Gran Turismo,,missed attribute
Movie,various_websites9,109,name,Guns of Banaras,"sorry, this page doesn ’ t exist!",nonsense
Movie,various_websites9,245,name,"L'arme fatale""@fr",ma soiree tv,nonsense
Movie,various_websites9,141,name,ERIC & ROSE,,missed attribute
Movie,various_websites9,111,name,Practical chess strategy: The Bishop,bishop, incomplete value
Movie,various_websites9,142,name,ERIC & ROSE,kontakt - anfragen,nonsense
Movie,various_websites9,143,name,"Glee. Season 1, volume 1, Road to sectionals /",glee,incomplete value
Movie,various_websites9,81,name,Video | Get Lift-off for Your SMA Business,get lift - off for your sma business,normalization error
Movie,various_websites9,108,name,1993,mori cinema,nonsense
Movie,various_websites9,246,name,Toofaan,sport,nonsense
Movie,various_websites9,13,name,Trolls - Gemeinsam stark,,missed attribute
Movie,various_websites9,165,name,Mer taxi txerqe,mer taxi txerqe 1 - 168 seria,overcomplete value
Movie,various_websites9,61,name,Transformers: Rose Of The Beasts,transformers : rise of the beasts,spelling mismatch
Movie,various_websites9,112,name,Practical chess strategy: The Bishop,bishop,incomplete value
Movie,various_websites9,31,name,Oppenheimer,ducobu,nonsense
Movie,various_websites9,210,name,Four Horsemen,,missed attribute
Movie,various_websites9,23,name,All Inclusive,barbie,incorrect value
Movie,various_websites9,202,name,The Avengers,shout,nonsense
Movie,various_websites9,92,name,Spider-Man: Uniwersum,marvels,nonsense
Movie,various_websites9,1,name,Hei Tiki (1935),tiki ( 2006,incorrect value
Movie,various_websites9,265,name,Toofaan,sport,nonsense
Movie,various_websites9,57,name,911 (2018),911,incomplete value
Movie,various_websites9,3,name,Shree Satya Narayan Vrat Katha Watch Full Movie Free Online - HindiMovies.to,shree satya narayan vrat katha, normalization error
Movie,various_websites9,211,name,Masterpiece,movie review : masterpiece,overcomplete value
Movie,various_websites9,97,name,Takedown (Sanal Korsan),shawshank redemption,incorrect value
Movie,various_websites9,56,name,"2020 | Keller Williams | Miscellaneous | Bumper | (Company Logos, Animated (Sizzle))",our sister company,nonsense
Movie,various_websites9,51,name,Oppenheimer,,missed attribute
Movie,various_websites9,222,name,Jennifer Knapp w/ Redd,,missed attribute
Movie,various_websites9,42,name,Oppenheimer,,missed attribute
Movie,various_websites9,101,name,"Wonder Woman 1984 (2020), Kisah Diana Prince dan Trailer",wonder woman 1984 ( 2020,incomplete value
Movie,various_websites9,30,name,NOT MY MOTHER'S BAKING,as joyce,nonsense
Movie,various_websites9,37,name,Oppenheimer,,missed attribute
Movie,various_websites9,61,name,Transformers: Rose Of The Beasts,transformers : rise of the beasts,spelling mismatch
Movie,various_websites9,210,name,Four Horsemen,2012,nonsense
Movie,various_websites9,39,name,Oppenheimer,,missed attribute
Movie,various_websites9,46,name,Oppenheimer,,missed attribute
Movie,various_websites9,0,name,tides,wir beantworten ihre fragen,nonsense
Movie,various_websites9,141,name,ERIC & ROSE,kontakt - anfragen,nonsense
Movie,various_websites9,45,name,Oppenheimer,,missed attribute
Movie,various_websites9,49,name,Oppenheimer,,missed attribute
Movie,various_websites9,84,name,"Elf""@en",warner bros. discovery,nonsense
Movie,various_websites9,57,name,911 (2018),911,incomplete value
Movie,various_websites9,81,name,Video | Get Lift-off for Your SMA Business,get lift - off for your sma business,normalization error
Movie,various_websites9,105,name,Sea Trout Secrets 1-4,terrible muddler,incorrect value
Movie,various_websites9,271,name,ME(ME),good,nonsense
Movie,various_websites9,42,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,50,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,35,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,158,name,"Avatar: El sentido del agua - Disney+, DVD, Blu-Ray & Descarga digital | Disney",dirigida por,nonsense
Movie,various_websites9,105,name,Sea Trout Secrets 1-4,gff money box,nonsense
Movie,various_websites9,0,name,tides,eine einzigartige themenauswahl,nonsense
Movie,various_websites9,222,name,Jennifer Knapp w/ Redd,,missed attribute
Movie,various_websites9,219,name,National Theatre Live: Find A Venue,national theatre live : find a venue | showtimes,overcomplete value
Movie,various_websites9,1,name,Hei Tiki (1935),kon - tiki ( 1950,incomplete value
Movie,various_websites9,85,name,Recenze:,little movie diary,nonsense
Movie,various_websites9,58,name,The Last Voyage of the Demeter,evil is aboard : the making of the last voyage of the demeter,overcomplete value
Movie,various_websites9,142,name,ERIC & ROSE,kontakt - anfragen,nonsense
Movie,various_websites9,45,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,48,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,21,name,Avengers: Endgame,joker,incorrect value
Movie,various_websites9,134,name,Film Nene,strach z & nbsp ; nezname entity,nonsense
Movie,various_websites9,66,name,Han Solo: Una historia de Star Wars | Disney Latino Oficial,lego star wars,incorrect value
Movie,various_websites9,55,name,Oppenheimer,supermarche,nonsense
Movie,various_websites9,49,name,Oppenheimer,supermarche,nonsense
