vertical,website,doc_id,attribute,true,pred
Movie,various_websites10,0002,name,Lawrence of Arabia,lawrence of arabia p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t b details
Movie,various_websites10,0171,name,"Planes, Trains and Automobiles",home alone
Movie,various_websites10,0150,name,Somebody Up There Likes Me,silver chalice
Movie,various_websites10,0074,name,Yankee Doodle Dandy,jolson story
Movie,various_websites10,0021,name,M*A*S*H,chaos of war
Movie,various_websites10,0048,name,WALL-E,brave little toaster
Movie,various_websites10,0104,name,East of Eden,east of eden p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t b details
Movie,various_websites10,0136,name,Alice Doesn't Live Here Anymore,gone with the wind
Movie,various_websites10,0156,name,Manhattan Murder Mystery,after
Movie,various_websites10,0199,name,Jackie Brown,tough chicks tournament's final four
Movie,various_websites10,0149,name,Grease,star wars
Movie,various_websites10,0125,name,Annapolis,better luck tomorrow
Movie,various_websites10,0143,name,Serpico,dog day afternoon
Movie,various_websites10,0121,name,Ofelas,pathfinder
Movie,various_websites10,0134,name,An American Werewolf in London,werewolves
Movie,various_websites10,0085,name,Ice Station Zebra,tigerfish
Movie,various_websites10,0129,name,Speed,speed 2
Movie,various_websites10,0105,name,2010,dullea
Movie,various_websites10,0179,name,Born on the Fourth of July,heaven and earth
Movie,various_websites10,0123,name,Amadeus,
Movie,various_websites10,0165,name,National Lampoon's Animal House,animal house
Movie,various_websites10,0181,name,Robocop,
Movie,various_websites10,0089,name,Oliver!,runaways
Movie,various_websites10,0106,name,Solaris,undiscovered country
Movie,various_websites10,0030,name,Fatal Attraction,diversion
Movie,various_websites10,0085,name,Ice Station Zebra,tigerfish
Movie,various_websites10,0125,name,Annapolis,better luck tomorrow
Movie,various_websites10,0015,name,National Lampoon's Animal House,animal house
Movie,various_websites10,0005,name,Spartacus,
Movie,various_websites10,0032,name,Arthur,on the rocks
Movie,various_websites10,0025,name,Kramer vs. Kramer,
Movie,various_websites10,0131,name,Abby,relic
Movie,various_websites10,0065,name,Vertigo,amctv. com p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t a movie guide p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t a vertigo
Movie,various_websites10,0193,name,Diner,diner p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t b details
Movie,various_websites10,0110,name,Belle de Jour,beauty of the day
Movie,various_websites10,0143,name,Serpico,godfather
Movie,various_websites10,0037,name,Unforgiven,don siegel
Movie,various_websites10,0105,name,2010,
Movie,various_websites10,0164,name,Caddyshack II,
Movie,various_websites10,0105,name,2010,
Movie,various_websites10,0065,name,Vertigo,details
Movie,various_websites10,0059,name,Ferris Bueller's Day Off,details
Movie,various_websites10,0199,name,Jackie Brown,jackie brown p2t body p1t div p1i container p0t div p0i breadcrumb & # 62 ; p2t div p2i container p1t div p1i breadcrumb p0t b details
Movie,various_websites10,0043,name,City Slickers,details
Movie,various_websites10,0021,name,M*A*S*H,details
Movie,various_websites10,0089,name,Oliver!,details
Movie,various_websites10,0042,name,Philadelphia,details
Movie,various_websites10,0121,name,Ofelas,details
Movie,various_websites10,0077,name,42nd Street,
Movie,various_websites10,0149,name,Grease,star wars
Movie,various_websites10,0071,name,Fantasia,dumbo
Movie,various_websites10,0145,name,Traffic,
Movie,various_websites10,0133,name,The Order,
Movie,various_websites10,0131,name,Abby,relic
Movie,various_websites10,0156,name,Manhattan Murder Mystery,after
Movie,various_websites10,0059,name,Ferris Bueller's Day Off,
Movie,various_websites10,0135,name,Mean Streets,betrayal
Movie,various_websites10,0162,name,Metropolitan,
Movie,various_websites10,0038,name,The Sixth Sense,haunting ( 1963
Movie,various_websites10,0171,name,"Planes, Trains and Automobiles",home alone
Movie,various_websites10,0176,name,Radio Days,brooklyn
Movie,various_websites10,0137,name,The Bear,
Movie,various_websites10,0121,name,Ofelas,pathfinder
Movie,various_websites10,0061,name,City Lights,
Movie,various_websites10,0191,name,The Player,
Movie,various_websites10,0143,name,Serpico,going undercover
Movie,various_websites10,0124,name,The Set-Up,
Movie,various_websites10,0005,name,Spartacus,clockwork orange ( 1971
